name,pokedex_number,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles
Bulbasaur,1,1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,318,45,49,49,65,65,45,45,70,Medium Slow,2,Grass,Monster,87.5,20
Ivysaur,2,1,Normal,Seed Pokémon,2,Grass,Poison,1,13,405,60,62,63,80,80,60,45,70,Medium Slow,2,Grass,Monster,87.5,20
Venusaur,3,1,Normal,Seed Pokémon,2,Grass,Poison,2,100,525,80,82,83,100,100,80,45,70,Medium Slow,2,Grass,Monster,87.5,20
Mega Venusaur,3,1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,625,80,100,123,122,120,80,45,70,Medium Slow,2,Grass,Monster,87.5,20
Charmander,4,1,Normal,Lizard Pokémon,1,Fire,,0.6,8.5,309,39,52,43,60,50,65,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Charmeleon,5,1,Normal,Flame Pokémon,1,Fire,,1.1,19,405,58,64,58,80,65,80,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Charizard,6,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,534,78,84,78,109,85,100,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Mega Charizard X,6,1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,634,78,130,111,130,85,100,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Mega Charizard Y,6,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,634,78,104,78,159,115,100,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Squirtle,7,1,Normal,Tiny Turtle Pokémon,1,Water,,0.5,9,314,44,48,65,50,64,43,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Wartortle,8,1,Normal,Turtle Pokémon,1,Water,,1,22.5,405,59,63,80,65,80,58,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Blastoise,9,1,Normal,Shellfish Pokémon,1,Water,,1.6,85.5,530,79,83,100,85,105,78,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Mega Blastoise,9,1,Normal,Shellfish Pokémon,1,Water,,1.6,101.1,630,79,103,120,135,115,78,45,70,Medium Slow,2,Monster,Water 1,87.5,20
